,0
0,0.035299283
1,0.46189702
2,0.08276666
3,0.38033363
4,0.4602635
5,0.0113481665
6,0.00016257558
7,0.5082011
8,0.009284332
9,0.0013857557
10,0.13629824
11,0.0001834598
12,0.20721008
13,0.000786282
14,0.0005518705
15,0.22713594
16,0.025390243
17,0.82656777
18,0.0002641182
19,0.0010500127
20,0.26108128
21,0.07689145
22,0.02060895
23,0.0080683045
24,0.02341472
25,0.13455826
26,0.02310664
27,0.11131262
28,0.100880116
29,0.06176909
30,0.8337411
31,0.0004729915
32,0.36467436
33,0.02624582
34,0.31010816
35,0.03713508
36,0.0019321229
37,0.029427858
38,0.42272532
39,0.018234821
40,0.014492795
41,0.16230401
42,0.21141711
43,0.75084805
44,0.61188453
45,0.03822407
46,0.54104716
47,0.008325505
48,0.7602893
49,0.0025188052
50,0.72609645
51,0.12186495
52,0.15579309
53,0.06846426
54,0.010496141
55,0.0010317995
56,0.053330023
57,0.0005637175
58,0.03305268
59,0.15009855
60,0.2939744
61,0.00029861197
62,0.12723498
63,0.002643133
64,0.86758876
65,0.015415249
66,8.3449e-05
67,0.90074205
68,0.0033414743
69,0.11273129
70,0.03850199
71,0.017433938
72,0.60424453
73,0.004307788
74,0.0029265329
75,0.22314277
76,0.049942322
77,0.06309934
78,0.002728498
79,0.0047489125
80,0.039400287
81,0.18648723
82,0.9410927
83,0.004902955
84,0.20438819
85,0.027968034
86,0.06322476
87,0.032349616
88,0.004913237
89,0.00063294714
90,0.45054358
91,0.0034485415
92,0.020391954
93,0.030522406
94,0.06892872
95,0.051121466
96,0.00495243
97,0.0011082677
98,0.010193744
99,0.64151293
100,0.046534516
101,0.81221795
102,0.52843875
103,0.037861444
104,0.033806745
105,0.0018515377
106,0.0035965885
107,0.67378926
108,0.00042400722
109,0.00837833
110,0.028496156
111,0.2180493
112,0.1362885
113,0.002864518
114,0.01765445
115,0.22472543
116,0.004443523
117,0.00015413805
118,0.023628628
119,0.0040643835
120,0.8691689
121,0.005283123
122,0.029870924
123,0.057416044
124,0.009389942
125,0.13880247
126,0.008081359
127,0.09905064
128,0.18141958
129,0.017795086
130,0.21016698
131,0.20368426
132,0.10401067
